name,handedness,height,weight,avg,HR
Denny Lemaster,Right, 73, 182, 0.130, 4
Joe Nolan,Left, 71, 175, 0.263, 27
Denny Doyle,Left, 69, 175, 0.250, 16
Jose Cardenal,Right, 70, 150, 0.275, 138
Mike Ryan,Right, 74, 205, 0.193, 28
Fritz Peterson,Both, 72, 185, 0.159, 2
Dick Bertell,Right, 72, 200, 0.250, 10
Rod Kanehl,Right, 73, 180, 0.241, 6
Juan Bonilla,Right, 69, 170, 0.256, 7
Frank Tepedino,Left, 71, 185, 0.241, 6
Rick Wise,Right, 73, 180, 0.195, 15
Darrell Evans,Left, 74, 200, 0.248, 414
Buck Martinez,Right, 70, 190, 0.225, 58
John Wockenfuss,Right, 72, 190, 0.262, 86
Tommy McCraw,Left, 72, 183, 0.246, 75
Lee Lacy,Right, 73, 175, 0.286, 91
Pete Rose,Both, 71, 192, 0.303, 160
Danny Walton,Right, 72, 195, 0.223, 28
Bobby Cox,Right, 71, 180, 0.225, 9
Brad Wellman,Right, 72, 170, 0.231, 6
Jeff Newman,Right, 74, 215, 0.224, 63
Pedro Gonzalez,Right, 72, 176, 0.244, 8
Tommie Reynolds,Right, 74, 190, 0.226, 12
Gene Clines,Right, 69, 170, 0.277, 5
Jim Hickman,Right, 75, 192, 0.252, 159
Jack Billingham,Right, 76, 195, 0.111, 0
Jerry Buchek,Right, 71, 185, 0.220, 22
Ivan DeJesus,Right, 71, 175, 0.254, 21
Gary Nolan,Right, 74, 197, 0.138, 1
Fred Whitfield,Left, 73, 190, 0.253, 108
Larry Dierker,Right, 76, 215, 0.136, 4
Dave Skaggs,Right, 74, 200, 0.241, 3
Dick Ruthven,Right, 75, 190, 0.183, 1
Dave Kingman,Right, 78, 210, 0.236, 442
Eric Soderholm,Right, 71, 187, 0.264, 102
Ed Brinkman,Right, 72, 170, 0.224, 60
Wayne Garrett,Left, 71, 175, 0.239, 61
Tony Muser,Left, 74, 180, 0.259, 7
Ted Ford,Right, 70, 180, 0.219, 17
Jim Lyttle,Left, 72, 180, 0.248, 9
Scot Thompson,Left, 75, 195, 0.262, 5
Gene Locklear,Left, 70, 165, 0.274, 9
Bo Diaz,Right, 71, 185, 0.255, 87
Bump Wills,Both, 69, 172, 0.266, 36
Pat Putnam,Left, 72, 205, 0.255, 63
Kurt Bevacqua,Right, 72, 180, 0.236, 27
Syd O'Brien,Right, 73, 185, 0.230, 24
Chris Chambliss,Left, 73, 195, 0.279, 185
Tom Satriano,Left, 73, 185, 0.225, 21
Jeffrey Leonard,Right, 74, 200, 0.266, 144
Dal Maxvill,Right, 71, 157, 0.217, 6
Cesar Tovar,Right, 69, 155, 0.278, 46
Mickey Lolich,Both, 73, 170, 0.110, 0
Jack Heidemann,Right, 72, 175, 0.211, 9
Rich Rollins,Right, 70, 185, 0.269, 77
Walt Bond,Left, 79, 228, 0.256, 41
Merv Rettenmund,Right, 70, 190, 0.271, 66
Byron Browne,Right, 74, 190, 0.236, 30
Hector Torres,Right, 72, 175, 0.216, 18
Walt Williams,Right, 66, 165, 0.270, 33
Jerry Koosman,Right, 74, 205, 0.119, 2
Steve Lombardozzi,Right, 72, 175, 0.233, 20
Joe Azcue,Right, 72, 190, 0.252, 50
Elliott Maddox,Right, 71, 180, 0.261, 18
Omar Moreno,Left, 74, 180, 0.252, 37
Julian Javier,Right, 73, 175, 0.257, 78
Elio Chacon,Right, 69, 160, 0.232, 4
Rusty Torres,Both, 70, 175, 0.212, 35
John Stearns,Right, 72, 185, 0.260, 46
Larry Brown,Right, 70, 160, 0.233, 47
Tommy Dean,Right, 72, 165, 0.180, 4
Marty Martinez,Both, 72, 170, 0.243, 0
Bruce Boisclair,Left, 74, 185, 0.263, 10
Ken Singleton,Both, 76, 210, 0.282, 246
Frank White,Right, 71, 165, 0.255, 160
Jim Fairey,Left, 70, 190, 0.235, 7
Tom Brookens,Right, 70, 165, 0.246, 71
Gary Thomasson,Left, 73, 180, 0.249, 61
Otto Velez,Right, 72, 170, 0.251, 78
Tony Scott,Both, 72, 164, 0.249, 17
Ray Oyler,Right, 71, 165, 0.175, 15
Floyd Robinson,Left, 69, 175, 0.283, 67
Steve Jeltz,Both, 71, 180, 0.210, 5
Lou Brock,Left, 71, 170, 0.293, 149
Joe Lovitto,Both, 72, 185, 0.216, 4
Wayne Comer,Right, 70, 175, 0.229, 16
Dave Collins,Both, 71, 175, 0.272, 32
Ed Spiezio,Right, 71, 180, 0.238, 39
Rico Petrocelli,Right, 72, 175, 0.251, 210
Johnny Lewis,Left, 73, 189, 0.227, 22
Dick Simpson,Right, 76, 176, 0.207, 15
Ken Boswell,Left, 72, 170, 0.248, 31
Ken McMullen,Right, 75, 190, 0.248, 156
Steve Swisher,Right, 74, 205, 0.216, 20
Dick Howser,Right, 68, 155, 0.248, 16
Manny Castillo,Both, 69, 160, 0.242, 3
Mike Ramsey,Both, 73, 170, 0.240, 2
Willie Crawford,Left, 73, 197, 0.268, 86
Willie Norwood,Right, 72, 185, 0.242, 18
Jeff Stone,Left, 72, 175, 0.277, 11
Joe Lahoud,Left, 73, 198, 0.223, 65
Tim Flannery,Left, 71, 175, 0.255, 9
Dave McKay,Both, 73, 195, 0.229, 21
Benny Ayala,Right, 73, 185, 0.251, 38
Greg Gross,Left, 70, 160, 0.287, 7
Sal Butera,Right, 72, 190, 0.227, 8
Jack Brohamer,Left, 70, 165, 0.245, 30
Von Joshua,Left, 70, 170, 0.273, 30
Eddie Milner,Left, 71, 173, 0.253, 42
Johnny Jeter,Right, 73, 180, 0.244, 18
Angel Salazar,Right, 72, 180, 0.212, 2
Tony Oliva,Left, 73, 175, 0.304, 220
Cito Gaston,Right, 75, 190, 0.256, 91
Cookie Rojas,Right, 70, 160, 0.263, 54
Rich Morales,Right, 71, 170, 0.195, 6
Dan Ford,Right, 73, 185, 0.270, 121
Darryl Motley,Right, 69, 196, 0.243, 44
Ozzie Virgil,Right, 73, 180, 0.243, 98
Johnny Oates,Left, 71, 188, 0.250, 14
Mike Phillips,Left, 72, 170, 0.240, 11
Ron Santo,Right, 72, 190, 0.277, 342
Jay Johnstone,Left, 73, 175, 0.267, 102
Jim Ray Hart,Right, 71, 185, 0.278, 170
Marc Hill,Right, 75, 205, 0.223, 34
Chico Salmon,Right, 70, 160, 0.249, 31
Joe Niekro,Right, 73, 185, 0.156, 1
Andy Etchebarren,Right, 73, 190, 0.235, 49
Ken Berry,Right, 72, 175, 0.255, 58
Dave Concepcion,Right, 74, 155, 0.267, 101
Junior Moore,Right, 71, 185, 0.264, 7
Mike Richardt,Right, 72, 170, 0.226, 4
Chris Brown,Right, 72, 185, 0.269, 38
Al Bumbry,Left, 68, 170, 0.281, 54
Al Downing,Right, 71, 175, 0.127, 2
Bob Didier,Both, 72, 190, 0.229, 0
Jake Gibbs,Left, 72, 180, 0.233, 25
Garry Hancock,Left, 72, 175, 0.247, 12
Ed Kranepool,Left, 75, 205, 0.261, 118
Rick Rhoden,Right, 75, 195, 0.238, 9
Denny McLain,Right, 73, 185, 0.133, 1
Chuck Hiller,Left, 71, 170, 0.243, 20
Jorge Orta,Left, 70, 170, 0.278, 130
Dave Cash,Right, 71, 170, 0.283, 21
Bucky Dent,Right, 69, 170, 0.247, 40
Tony Gonzalez,Left, 69, 170, 0.286, 103
Larry Haney,Right, 74, 195, 0.215, 12
Billy Conigliaro,Right, 72, 180, 0.256, 40
Gary Roenicke,Right, 75, 205, 0.247, 121
Don Lock,Right, 74, 195, 0.238, 122
Billy Cowan,Right, 72, 170, 0.236, 40
Billy Smith,Both, 74, 185, 0.230, 17
Tony Perez,Right, 74, 175, 0.279, 379
Chuck Schilling,Right, 70, 160, 0.239, 23
Hal McRae,Right, 71, 180, 0.290, 191
Dave Roberts,Right, 75, 215, 0.239, 49
Jim Lefebvre,Both, 72, 180, 0.251, 74
Charlie Spikes,Right, 75, 215, 0.246, 65
Steve Whitaker,Left, 72, 180, 0.230, 24
Manny Jimenez,Left, 73, 185, 0.272, 26
Duffy Dyer,Right, 72, 187, 0.221, 30
Ken Henderson,Both, 74, 180, 0.257, 122
Vern Fuller,Right, 73, 170, 0.232, 14
Wayne Gross,Left, 74, 210, 0.233, 121
Mike Champion,Right, 72, 185, 0.229, 2
Paul Casanova,Right, 76, 180, 0.225, 50
Steve Rogers,Right, 74, 175, 0.138, 0
Terry Crowley,Left, 72, 180, 0.250, 42
Horace Clarke,Both, 69, 170, 0.256, 27
Lou Clinton,Right, 73, 185, 0.247, 65
Larry Cox,Right, 70, 178, 0.221, 12
Nate Colbert,Right, 74, 190, 0.243, 173
Phil Roof,Right, 74, 190, 0.215, 43
Chuck Hinton,Right, 73, 180, 0.264, 113
Tim Cullen,Right, 73, 185, 0.220, 9
Tim Harkness,Left, 74, 182, 0.235, 14
Rick Bosetti,Right, 71, 185, 0.250, 17
Ron Pruitt,Right, 72, 185, 0.269, 12
George Foster,Right, 73, 180, 0.274, 348
Jerry White,Both, 70, 164, 0.253, 21
Angel Mangual,Right, 70, 178, 0.245, 22
Ken Gerhart,Right, 72, 190, 0.221, 24
Mike Hershberger,Right, 70, 175, 0.252, 26
Jim French,Left, 68, 180, 0.196, 5
Dave Roberts,Left, 75, 195, 0.194, 7
Jim Mason,Left, 74, 185, 0.203, 12
Willie Smith,Left, 72, 182, 0.248, 46
Jose Arcia,Right, 75, 170, 0.215, 1
Leon Durham,Left, 73, 185, 0.277, 147
Paul Householder,Both, 72, 180, 0.236, 29
Aurelio Rodriguez,Right, 70, 180, 0.237, 124
Jimmy Stewart,Both, 72, 165, 0.237, 8
Dick Phillips,Left, 72, 180, 0.229, 12
Andres Thomas,Right, 73, 170, 0.234, 42
Ed Crosby,Left, 74, 175, 0.220, 0
Mike de la Hoz,Right, 71, 175, 0.251, 25
Frank Taveras,Right, 72, 155, 0.255, 2
Joe Nossek,Right, 72, 178, 0.228, 3
Larry Stahl,Left, 72, 175, 0.232, 36
Jose Cruz,Left, 72, 170, 0.284, 165
Don Mason,Left, 71, 160, 0.205, 3
Bill Robinson,Right, 74, 189, 0.258, 166
Sal Bando,Right, 72, 195, 0.254, 242
George Mitterwald,Right, 74, 195, 0.236, 76
Craig Robinson,Right, 70, 165, 0.219, 0
Bob Tillman,Right, 76, 205, 0.232, 79
Pat Corrales,Right, 72, 180, 0.216, 4
Mike Tyson,Right, 69, 170, 0.241, 27
Rafael Landestoy,Both, 70, 165, 0.237, 4
Duane Josephson,Right, 72, 190, 0.258, 23
Duane Walker,Left, 72, 185, 0.229, 24
Glenn Hubbard,Right, 69, 150, 0.244, 70
Roger Freed,Right, 72, 190, 0.245, 22
George Hendrick,Right, 75, 195, 0.278, 267
Rod Carew,Left, 72, 170, 0.328, 92
Bob Davis,Right, 72, 180, 0.197, 6
Toby Harrah,Right, 72, 175, 0.264, 195
Rick Manning,Left, 73, 180, 0.257, 56
Gary Matthews,Right, 74, 185, 0.281, 234
Cesar Geronimo,Left, 72, 165, 0.258, 51
Billy Bryan,Left, 76, 200, 0.216, 41
Terry Whitfield,Left, 73, 197, 0.281, 33
Mario Mendoza,Right, 71, 170, 0.215, 4
Fred Lynn,Left, 73, 185, 0.283, 306
Larry Hisle,Right, 74, 193, 0.273, 166
Graig Nettles,Left, 72, 180, 0.248, 390
Dave Engle,Right, 75, 210, 0.262, 31
Mike Easler,Left, 72, 190, 0.293, 118
Rick Sweet,Both, 73, 200, 0.234, 6
Thurman Munson,Right, 71, 190, 0.292, 113
Rick Monday,Left, 75, 193, 0.264, 241
Mike Sadek,Right, 69, 165, 0.226, 5
Mark Belanger,Right, 73, 170, 0.228, 20
Ron Hunt,Right, 72, 186, 0.273, 39
Joe Keough,Left, 72, 185, 0.246, 9
Vic Correll,Right, 70, 185, 0.229, 29
Jackie Hernandez,Right, 71, 165, 0.208, 12
Tony Solaita,Left, 72, 210, 0.255, 50
U L Washington,Both, 71, 175, 0.251, 27
Joe Foy,Right, 72, 215, 0.248, 58
Ed Goodson,Left, 75, 180, 0.260, 30
Mickey Klutts,Right, 71, 170, 0.241, 14
Leroy Stanton,Right, 73, 195, 0.244, 77
Danny Ainge,Right, 76, 175, 0.220, 2
Adolfo Phillips,Right, 73, 175, 0.247, 59
Marv Breeding,Right, 72, 175, 0.250, 7
Dick McAuliffe,Left, 71, 176, 0.247, 197
Joe Horlen,Right, 72, 170, 0.134, 0
Glenn Burke,Right, 72, 195, 0.237, 2
Terry Humphrey,Right, 75, 185, 0.211, 6
Enzo Hernandez,Right, 68, 155, 0.224, 2
Cesar Gutierrez,Right, 69, 155, 0.235, 0
Coco Laboy,Right, 70, 165, 0.233, 28
Ted Kubiak,Both, 72, 175, 0.231, 13
Jim Morrison,Right, 71, 175, 0.260, 112
Bobby Knoop,Right, 73, 170, 0.236, 56
Bobby Brown,Both, 74, 190, 0.245, 26
Tom Hutton,Left, 71, 180, 0.248, 22
Ron Hodges,Left, 73, 185, 0.240, 19
Rich Chiles,Left, 71, 170, 0.254, 6
Tom Paciorek,Right, 76, 215, 0.282, 86
Gary Woods,Right, 74, 185, 0.243, 13
Bob Montgomery,Right, 73, 195, 0.258, 23
Jeff Burroughs,Right, 73, 200, 0.261, 240
Rusty Staub,Left, 74, 190, 0.279, 292
Jim Norris,Left, 70, 175, 0.264, 7
Oscar Gamble,Left, 71, 160, 0.265, 200
George Vukovich,Left, 72, 198, 0.268, 27
Craig Reynolds,Left, 73, 175, 0.256, 42
Paul Blair,Right, 72, 168, 0.250, 134
Al Cowens,Right, 73, 197, 0.270, 108
Al Oliver,Left, 72, 195, 0.303, 219
Dave Hilton,Right, 71, 191, 0.213, 6
Luis Alvarado,Right, 69, 162, 0.214, 5
Larry Parrish,Right, 75, 190, 0.263, 256
Woodie Fryman,Right, 75, 197, 0.138, 2
Bob Randall,Right, 74, 175, 0.257, 1
Jim Pankovits,Right, 70, 170, 0.250, 9
Carmen Fanzone,Right, 72, 200, 0.224, 20
Gary Allenson,Right, 71, 185, 0.221, 19
Milt May,Left, 72, 190, 0.263, 77
Mike Vail,Right, 73, 180, 0.279, 34
Nick Esasky,Right, 75, 200, 0.250, 122
Jim Nettles,Left, 72, 186, 0.220, 16
Chris Cannizzaro,Right, 72, 190, 0.235, 18
Larry Biittner,Left, 74, 205, 0.273, 29
Mel Stottlemyre,Right, 73, 178, 0.160, 7
Roy Smalley,Both, 73, 185, 0.257, 163
Andy Messersmith,Right, 73, 200, 0.170, 5
Richie Zisk,Right, 73, 200, 0.287, 207
Dave Chalk,Right, 70, 175, 0.252, 15
Don Baylor,Right, 73, 190, 0.260, 338
John Vukovich,Right, 73, 187, 0.161, 6
Danny Thompson,Right, 72, 183, 0.248, 15
Joe Simpson,Left, 75, 175, 0.242, 9
Bill Fahey,Left, 72, 200, 0.241, 7
Doug Camilli,Right, 71, 195, 0.199, 18
Bernie Allen,Left, 72, 175, 0.239, 73
Bruce Bochy,Right, 75, 205, 0.239, 26
Claudell Washington,Left, 72, 190, 0.278, 164
John Donaldson,Left, 71, 160, 0.238, 4
John Mayberry,Left, 75, 215, 0.253, 255
Ken Reitz,Right, 72, 180, 0.260, 68
Amos Otis,Right, 71, 165, 0.277, 193
Gene Alley,Right, 70, 160, 0.254, 55
Ted Sizemore,Right, 70, 165, 0.262, 23
Dan Briggs,Left, 72, 180, 0.195, 12
Doug Flynn,Right, 71, 165, 0.238, 7
Ken Holtzman,Right, 74, 175, 0.163, 2
Pete Ward,Left, 73, 185, 0.254, 98
Kevin Bell,Right, 72, 195, 0.222, 13
Tom Nieto,Right, 73, 193, 0.205, 5
Duke Sims,Left, 74, 197, 0.239, 100
Larvell Blanks,Right, 68, 167, 0.253, 20
Mike Davis,Left, 74, 175, 0.259, 91
Jerry Reuss,Left, 77, 200, 0.167, 1
Steve Yeager,Right, 72, 190, 0.228, 102
Danny Goodwin,Left, 73, 195, 0.236, 13
Bud Harrelson,Both, 71, 160, 0.236, 7
Bob Knepper,Left, 75, 195, 0.137, 6
Mickey Rivers,Left, 70, 165, 0.295, 61
Jim Northrup,Left, 75, 190, 0.267, 153
John Hale,Left, 74, 195, 0.201, 14
Pedro Garcia,Right, 70, 175, 0.220, 37
Carl Yastrzemski,Left, 71, 175, 0.285, 452
Derrel Thomas,Both, 72, 160, 0.249, 43
Art Howe,Right, 74, 190, 0.260, 43
Ike Brown,Right, 72, 190, 0.256, 20
Howie Goss,Right, 76, 204, 0.216, 11
Glenn Borgmann,Right, 76, 210, 0.229, 16
Lamar Johnson,Right, 74, 215, 0.287, 64
Julio Gonzalez,Right, 71, 162, 0.235, 4
Bobby Klaus,Right, 70, 170, 0.208, 6
Manny Sanguillen,Right, 72, 193, 0.296, 65
Gates Brown,Left, 71, 220, 0.257, 84
Johnny Ray,Both, 71, 170, 0.290, 53
Jesus Alou,Right, 74, 190, 0.280, 32
Ken Landreaux,Left, 70, 165, 0.268, 91
Enos Cabell,Right, 76, 170, 0.277, 60
Billy North,Both, 71, 185, 0.261, 20
Juan Beniquez,Right, 71, 150, 0.274, 79
Frank Fernandez,Right, 72, 185, 0.199, 39
Bombo Rivera,Right, 70, 187, 0.265, 10
Steve Brye,Right, 72, 190, 0.258, 30
Ron Jackson,Right, 72, 200, 0.259, 56
Roger Metzger,Both, 72, 165, 0.231, 5
Rufino Linares,Right, 72, 170, 0.270, 11
Ray Webster,Left, 72, 185, 0.244, 17
Bob Kearney,Right, 72, 190, 0.233, 27
Fergie Jenkins,Right, 77, 205, 0.165, 13
Dick Dietz,Right, 73, 195, 0.261, 66
Ted Cox,Right, 75, 195, 0.245, 10
Bobby Mitchell,Left, 70, 170, 0.243, 3
Bobby Mitchell,Right, 75, 185, 0.235, 21
Barry Evans,Right, 73, 180, 0.251, 2
Mickey Brantley,Right, 70, 180, 0.259, 32
Al Gallagher,Right, 72, 180, 0.263, 11
Hector Cruz,Right, 71, 170, 0.225, 39
Fred Norman,Both, 68, 155, 0.125, 0
Woody Woodward,Right, 74, 180, 0.236, 1
Ted Martinez,Right, 72, 165, 0.240, 7
Jim Anderson,Right, 72, 170, 0.218, 13
Lenn Sakata,Right, 69, 160, 0.230, 25
Dave Duncan,Right, 74, 190, 0.214, 109
Randy Jones,Right, 72, 178, 0.132, 0
Dick Billings,Right, 73, 195, 0.227, 16
Bruce Bochte,Left, 75, 195, 0.282, 100
Bernie Carbo,Left, 71, 173, 0.264, 96
Vic Davalillo,Left, 67, 150, 0.279, 36
Burt Hooton,Right, 73, 210, 0.123, 4
Fernando Gonzalez,Right, 70, 165, 0.235, 17
Jim Sundberg,Right, 72, 190, 0.248, 95
Andy Kosco,Right, 75, 205, 0.236, 73
Steve Huntz,Both, 73, 204, 0.206, 16
Lenny Faedo,Right, 72, 170, 0.251, 5
John Lowenstein,Left, 72, 175, 0.253, 116
Don Kessinger,Both, 73, 170, 0.252, 14
Joe Hague,Left, 72, 195, 0.239, 40
Bake McBride,Left, 74, 190, 0.299, 63
Dick Davis,Right, 75, 190, 0.265, 27
Richie Scheinblum,Both, 73, 180, 0.263, 13
Ed Herrmann,Left, 73, 195, 0.240, 80
Bob Molinaro,Left, 72, 190, 0.264, 14
Mike Hegan,Left, 73, 188, 0.242, 53
Mike Diaz,Right, 74, 195, 0.247, 31
Tim Foli,Right, 72, 179, 0.251, 25
Alan Knicely,Right, 72, 190, 0.213, 12
Tim Laudner,Right, 75, 212, 0.225, 77
Jose Morales,Right, 71, 187, 0.287, 26
Juan Marichal,Right, 72, 185, 0.165, 4
Vida Blue,Both, 72, 189, 0.104, 4
Stan Papi,Right, 72, 170, 0.218, 7
Rob Wilfong,Left, 73, 180, 0.248, 39
Steve Henderson,Right, 74, 190, 0.280, 68
Rob Picciolo,Right, 74, 185, 0.234, 17
Roberto Pena,Right, 68, 170, 0.245, 13
Bob Dernier,Right, 72, 160, 0.255, 23
Bill Melton,Right, 74, 200, 0.253, 160
Albert Hall,Both, 71, 155, 0.251, 5
Barbaro Garbey,Right, 70, 170, 0.267, 11
John Milner,Left, 72, 185, 0.249, 131
Rich Reese,Left, 75, 185, 0.253, 52
Chris Bando,Both, 72, 195, 0.227, 27
Bill Buckner,Left, 72, 185, 0.289, 174
Jack Hiatt,Right, 74, 190, 0.251, 22
Nelson Mathews,Right, 76, 195, 0.223, 22
Larry Lintz,Both, 69, 150, 0.227, 0
Ron Theobald,Right, 68, 165, 0.248, 2
Rafael Santana,Right, 73, 165, 0.246, 13
Jerry Hairston,Both, 70, 170, 0.258, 30
Tommie Aaron,Right, 75, 190, 0.229, 13
Steve Dillard,Right, 73, 180, 0.243, 13
George Scott,Right, 74, 200, 0.268, 271
Ken Walters,Right, 73, 180, 0.231, 11
Gorman Thomas,Right, 74, 210, 0.225, 268
Paul Dade,Right, 73, 185, 0.270, 10
Darrell Porter,Left, 72, 193, 0.247, 188
Tim Johnson,Left, 73, 170, 0.223, 0
Fred Stanley,Right, 70, 165, 0.216, 10
Larry Bowa,Both, 70, 155, 0.260, 15
Tim Corcoran,Left, 71, 175, 0.270, 12
Jim Spencer,Left, 74, 195, 0.250, 146
Pete LaCock,Left, 74, 200, 0.257, 27
Carl Morton,Right, 72, 200, 0.156, 7
Gary Gray,Right, 72, 187, 0.240, 24
Matty Alou,Left, 69, 160, 0.307, 31
Jim Dwyer,Left, 70, 165, 0.260, 77
Dalton Jones,Left, 73, 180, 0.235, 41
Rennie Stennett,Right, 71, 160, 0.274, 41
Jerry May,Right, 74, 190, 0.234, 15
Rich McKinney,Right, 71, 185, 0.225, 20
Clint Hurdle,Left, 75, 195, 0.259, 32
Mike Andrews,Right, 75, 195, 0.258, 66
Bobby Clark,Right, 72, 190, 0.239, 19
Cliff Johnson,Right, 76, 215, 0.258, 196
Donn Clendenon,Right, 76, 209, 0.274, 159
Charlie James,Right, 73, 195, 0.255, 29
Bob Horner,Right, 73, 195, 0.277, 218
Tom Veryzer,Right, 73, 175, 0.241, 14
George Smith,Right, 70, 170, 0.205, 9
Jim Essian,Right, 74, 195, 0.244, 33
Onix Concepcion,Right, 66, 160, 0.239, 3
Boots Day,Left, 69, 160, 0.256, 8
Brian Giles,Right, 73, 165, 0.228, 10
Garry Maddox,Right, 75, 175, 0.285, 117
